Absolute_Downloads,Change_Downloads,Change Ratio_Downloads,Absolute_Revenue,Change_Revenue,Change_Ratio_Revenue,Category,In_App_Purchases,Contains_Ads,Changed_Free_to_Paid,Free
45958472,26497385,1.361557296,120606334.4,105473092.7,6.969629819,Video Players & Editors,FALSE,FALSE,,TRUE
45821325,-18317679,-0.285593443,0,0,0,Photography,FALSE,TRUE,FALSE,TRUE
45540251,26154593,1.349172311,451682.92,318580.6,2.393501481,Arcade,TRUE,TRUE,FALSE,TRUE
44759122,-2459035,-0.052078166,1107572.31,161863,0.17115513,Arcade,TRUE,TRUE,FALSE,TRUE
44552168,-2171388,-0.04647309,205891.96,205891.96,0,Communication,TRUE,TRUE,FALSE,TRUE
44031598,-36363328,-0.452308744,4986.62,4387.06,7.317132564,Productivity,TRUE,TRUE,FALSE,TRUE
43980162,-2124785,-0.046085835,21915642.72,-8682680.7,-0.283763283,Racing,TRUE,FALSE,FALSE,TRUE
43883243,43883243,0,32752267.73,32752267.73,0,Action,TRUE,FALSE,,TRUE
43809149,2049655,0.049082372,0,0,0,Productivity,FALSE,FALSE,FALSE,TRUE
43667937,43003948,64.76605486,34407.49,34407.49,0,Tools,TRUE,TRUE,FALSE,TRUE
43572142,17660049,0.681536957,293951.15,252238.82,6.047104537,Photography,TRUE,TRUE,FALSE,TRUE
43075239,9906241,0.29865964,0,0,0,Travel & Local,FALSE,FALSE,FALSE,TRUE
43021940,-1960808,-0.043590223,0,0,0,Communication,FALSE,FALSE,FALSE,TRUE
42973664,-16790393,-0.280944665,18446.44,681.52,0.038363246,Entertainment,FALSE,TRUE,FALSE,TRUE
42791467,-18468761,-0.301480448,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
42340078,4725228,0.125621344,4181153.99,1044598.86,0.333040172,Productivity,TRUE,FALSE,FALSE,TRUE
42059577,30346914,2.590949129,17048.71,17048.71,0,Entertainment,TRUE,TRUE,FALSE,TRUE
42037784,-40753546,-0.492244127,103364.71,-76495.03,-0.425303795,Productivity,TRUE,TRUE,,TRUE
42034818,42034818,0,114143.61,114143.61,0,Arcade,TRUE,TRUE,,TRUE
41775572,4846457,0.131236749,678300.5,75660.88,0.12554913,Racing,TRUE,TRUE,FALSE,TRUE
41293451,30962588,2.997095983,0,0,0,Puzzle,FALSE,TRUE,,TRUE
41166842,686901,0.016968923,0,0,0,Shopping,FALSE,TRUE,FALSE,TRUE
41105440,11822241,0.403720953,5412076.59,5005313.78,12.30523946,Video Players & Editors,TRUE,TRUE,,TRUE
40686066,-2894763,-0.066422853,20782525.64,3631883.42,0.211763698,Casual,TRUE,TRUE,FALSE,TRUE
40297110,33062445,4.570003587,0,0,0,Arcade,FALSE,TRUE,FALSE,TRUE
40232012,1436263,0.037021144,1373023.13,1373023.13,0,Shopping,TRUE,FALSE,FALSE,TRUE
40143901,40143901,0,93283348.74,93283348.74,0,Casual,TRUE,TRUE,,TRUE
39996076,-4326522,-0.097614359,61319714.52,-5940629.75,-0.088322916,Simulation,TRUE,TRUE,FALSE,TRUE
39983740,5815869,0.170214556,0,0,0,Shopping,FALSE,,,TRUE
39983524,38667320,29.37790798,0,0,0,Travel & Local,FALSE,FALSE,,TRUE
39787736,26754202,2.052720467,0,0,0,Shopping,FALSE,,,TRUE
39706738,-4740294,-0.106650406,26531453.33,13894593.46,1.099528965,Productivity,TRUE,FALSE,FALSE,TRUE
39664879,39664879,0,244311.86,244311.86,0,Arcade,TRUE,TRUE,,TRUE
39626887,5851333,0.173241659,2242.86,2242.86,0,Photography,TRUE,FALSE,FALSE,TRUE
39548396,-2930166,-0.068979877,0,0,0,Communication,FALSE,TRUE,FALSE,TRUE
